"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"e:\Instagram Clone\Eimentum\.github\workflows\codeql-analysis.yml", "YAML", 0, 0, 0, 31, 0, 0, 0, 29, 13, 73
"e:\Instagram Clone\Eimentum\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 4, 8
"e:\Instagram Clone\Eimentum\SECURITY.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 7, 22
"e:\Instagram Clone\Eimentum\manifest.webmanifest", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"e:\Instagram Clone\Eimentum\package-lock.json", "JSON", 0, 0, 25341, 0, 0, 0, 0, 0, 1, 25342
"e:\Instagram Clone\Eimentum\package.json", "JSON", 0, 0, 85, 0, 0, 0, 0, 0, 1, 86
"e:\Instagram Clone\Eimentum\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 6, 32
"e:\Instagram Clone\Eimentum\public\logo.svg", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"e:\Instagram Clone\Eimentum\public\manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"e:\Instagram Clone\Eimentum\service-worker.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Instagram Clone\Eimentum\src\Animation\Loader\Background\Background.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\Instagram Clone\Eimentum\src\Animation\Loader\Background\Background.module.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 0, 2, 38
"e:\Instagram Clone\Eimentum\src\Animation\Loader\Loader.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"e:\Instagram Clone\Eimentum\src\Animation\Loader\Loader.module.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"e:\Instagram Clone\Eimentum\src\Animation\Loader\Progressbar\ProgressBar.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"e:\Instagram Clone\Eimentum\src\Animation\Loader\loader\FluidLoader.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
